scenario_name,tracking_error_target,frontier_mode,optimization_method,solver_success,ex_post_ic,alpha_over_ic_dispersion,realized_return_over_sigma_dispersion,transfer_coefficient,risk_weighted_transfer_coefficient,active_return,active_risk,realized_tracking_error,information_ratio,theoretical_information_ratio,trial_id,run_key
unconstrained,,,cvxportfolio_policy_execute,True,-0.24783249092804735,0.015027937020789505,0.8636469326957983,,,-1.97175936012317e-19,5.03252869305109e-19,5.03252869305109e-19,,,14,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.24783249092804735,0.015027937020789505,0.8636469326957983,,,-1.971614599193696e-19,5.031586428337425e-19,5.031586428337425e-19,,,14,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.24783249092804735,0.015027937020789505,0.8636469326957983,,,-1.971614599193696e-19,5.031586428337425e-19,5.031586428337425e-19,,,14,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.24783249092804735,0.015027937020789505,0.8636469326957983,0.5199261658680517,0.5178972253402571,-1.719441663167535e-07,3.3430108836702647e-07,3.3430108836702647e-07,-0.5143392357968556,-0.40588390139645714,14,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.24783249092804735,0.015027937020789505,0.8636469326957983,0.49518093540686886,0.4932485598267402,-4.396759172183165e-08,8.331774826352213e-08,8.331774826352213e-08,-0.5277097933896202,-0.38656636881792356,14,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.004608755941461411,0.926081430127081,0.6935500109450855,,,1.4886125771906417e-19,4.244459351178742e-19,4.244459351178742e-19,,,15,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.004608755941461411,0.926081430127081,0.6935500109450855,,,1.4880722279760175e-19,4.242975914982555e-19,4.242975914982555e-19,,,15,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.004608755941461411,0.926081430127081,0.6935500109450855,,,1.4880722279760175e-19,4.242975914982555e-19,4.242975914982555e-19,,,15,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.004608755941461411,0.926081430127081,0.6935500109450855,-0.40179408952766105,-0.39560070638024436,-6.30972755952984e-08,6.063762267655946e-07,6.063762267655946e-07,-0.1040563148919256,0.005765550346642245,15,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.004608755941461411,0.926081430127081,0.6935500109450855,0.06262548295886695,0.06166015391946702,1.25836475217375e-07,9.048206476687845e-07,9.048206476687845e-07,0.13907339044658745,-0.0008986453160240124,15,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.4179096728582952,0.011078251100525242,1.017244731162471,,,3.600308757181075e-19,2.0557631600377807e-19,2.0557631600377807e-19,,,16,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.4179096728582952,0.011078251100525242,1.017244731162471,,,3.600255253398467e-19,2.0558559435425652e-19,2.0558559435425652e-19,,,16,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.4179096728582952,0.011078251100525242,1.017244731162471,-0.6504253538245368,-0.634494235475319,-1.5146141964281355e-06,8.610436337938803e-07,8.610436337938803e-07,-1.7590446488228833,-0.8385135869563266,16,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.4179096728582952,0.011078251100525242,1.017244731162471,0.7092473557821659,0.691875487422493,4.0720330990994286e-07,2.4528991383529635e-07,2.4528991383529635e-07,1.6600899056263916,0.9143455751827054,16,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.4179096728582952,0.011078251100525242,1.017244731162471,-0.5982023269828788,-0.5835503276816628,-2.2526621075712841e-07,1.230524506595019e-07,1.230524506595019e-07,-1.830651966294129,-0.7711888478660962,16,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.13698480356239823,0.03638637524548413,0.3624796052124398,,,1.1114668904321243e-19,2.268578611263656e-19,2.268578611263656e-19,,,17,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.13698480356239823,0.03638637524548413,0.3624796052124398,,,1.1112034643029053e-19,2.2681921189165107e-19,2.2681921189165107e-19,,,17,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.13698480356239823,0.03638637524548413,0.3624796052124398,0.5805478422691714,0.5673774122603552,2.5116596110244165e-07,5.002017766500352e-07,5.002017766500352e-07,0.5021292862743453,0.2457788079244382,17,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.13698480356239823,0.03638637524548413,0.3624796052124398,-0.5747692436556829,-0.5617299081354655,-1.1667965422643311e-07,2.4692462384813666e-07,2.4692462384813666e-07,-0.47253146489834613,-0.24333239958746547,17,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.13698480356239823,0.03638637524548413,0.3624796052124398,-0.6214269475651304,-0.6073291266239556,-2.1229497870221626e-08,4.046532908900697e-08,4.046532908900697e-08,-0.5246342572310612,-0.2630852507236054,17,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.2811759628144785,0.021118772421100572,1.0172702744587094,,,-3.5574083139455116e-19,2.3186158355790653e-19,2.3186158355790653e-19,,,18,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.2811759628144785,0.021118772421100572,1.0172702744587094,,,-3.558037828716331e-19,2.318959618235306e-19,2.318959618235306e-19,,,18,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.2811759628144785,0.021118772421100572,1.0172702744587094,0.52709356871142,0.5270841972490222,-4.991359140655345e-07,3.302679143804399e-07,3.302679143804399e-07,-1.5113061012962141,-0.46866032199683266,18,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.2811759628144785,0.021118772421100572,1.0172702744587094,0.34288890162021457,0.3428828052239452,-1.1212041888005602e-07,7.671369584479014e-08,7.671369584479014e-08,-1.461543700187539,-0.3048764632712189,18,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.2811759628144785,0.021118772421100572,1.0172702744587094,,,-3.5551661296986034e-19,2.3169680659422563e-19,2.3169680659422563e-19,,,18,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.3164078266201764,0.012915663736017676,0.8850296514494079,,,1.4628650723241459e-18,1.1494109337897025e-18,1.1494109337897025e-18,,,19,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.3164078266201764,0.012915663736017676,0.8850296514494079,0.11560316488763063,0.11542797343554864,1.5993024431276008e-08,8.50879574785866e-08,8.50879574785866e-08,0.18795873006236918,0.11549369831101021,19,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.3164078266201764,0.012915663736017676,0.8850296514494079,,,1.4623589223727612e-18,1.1490180953094728e-18,1.1490180953094728e-18,,,19,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.3164078266201764,0.012915663736017676,0.8850296514494079,-0.7972393663146975,-0.7934000072839835,-1.2780889446098864e-06,8.638525823654259e-07,8.638525823654259e-07,-1.4795220512164085,-0.7938517705361475,19,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.3164078266201764,0.012915663736017676,0.8850296514494079,,,1.4618830454461056e-18,1.1486103358321252e-18,1.1486103358321252e-18,,,19,combined_constraints
